id,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,age,gender,edu,income,marital_status,religion, employment,employment_condition
181,1,2,2,2,2,2,4,3,4,5,4,2,2,3,2,4,1,1,4,2,2,4,1,2,3,3,2,3,1,2,4,3,4,4,1,2
182,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,1,2,1,2
183,2,3,2,2,3,2,3,3,3,3,2,2,2,2,3,3,2,3,3,3,2,3,2,3,2,2,2,2,2,2,3,2,1,2,1,3
184,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2,3,3,3,2,3,2,2,3,2,1,1,1,3
185,3,3,3,3,2,2,3,3,3,3,2,3,3,2,3,2,3,3,2,2,2,3,3,3,3,2,2,3,1,2,4,2,1,3,1,3
186,3,3,3,3,3,2,3,2,3,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,2,1,3,1,3
187,3,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,4,1,1,3
188,4,3,4,3,3,3,3,2,3,2,2,2,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,1,2,3,2,1,1,1,3
189,2,2,2,2,3,2,3,3,3,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,3,2,2,2,1,3
190,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,4,3,4,4,4,4,3,3,3,3,2,2,4,3,1,3,1,3
191,2,2,2,2,2,2,3,3,3,2,2,3,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,2,4,3,1,2,1,3
192,2,3,2,3,5,2,4,4,4,3,3,4,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,2,3,3,1,1,1,3
193,2,4,4,4,2,3,4,3,3,4,2,3,3,3,3,4,2,3,3,4,4,3,2,3,3,3,3,4,2,2,4,4,1,3,1,2
194,4,5,4,4,3,3,4,3,3,4,3,2,3,2,2,2,2,4,3,4,4,4,2,4,4,4,3,2,2,1,4,3,5,4,1,4
195,3,2,4,2,4,3,3,3,3,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,1,2,2,3,1,1,4,3,5,4,1,2
196,2,2,2,1,3,1,4,3,4,5,4,2,2,2,4,3,3,2,4,2,2,2,4,4,3,3,4,4,3,2,3,2,2,1,1,3
197,3,2,2,2,2,2,3,3,4,4,3,3,2,4,2,2,2,2,4,4,4,4,4,3,3,3,2,3,2,2,4,2,1,1,1,3
198,3,3,3,3,2,2,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,4,2,3,1,2,2,1,3
199,3,3,4,3,2,3,4,3,4,3,3,4,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,4,2,3,1,2,2,1,3
200,2,2,1,1,2,2,5,5,4,2,4,4,1,2,2,1,1,4,3,3,4,4,4,2,3,3,1,2,2,2,3,4,2,2,1,2
201,3,3,3,4,4,4,4,4,3,4,4,2,2,2,2,2,2,2,2,2,2,3,2,4,3,4,3,4,1,2,5,3,1,4,1,2
202,3,3,3,3,2,2,4,3,4,4,3,3,3,2,4,4,4,3,2,2,4,3,2,4,4,4,4,4,3,2,3,1,1,1,1,2
203,3,2,2,2,2,2,4,4,4,2,4,4,3,3,2,2,3,2,4,2,4,4,3,2,2,2,2,2,2,2,3,3,3,1,1,4
204,2,3,3,2,3,3,3,4,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2,3,2,2,1,1,2
205,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,3,2,4,1,1,2
206,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,1,1,1
